2024-07-04 17:41:46.397 +0000 [info] [] Start
2024-07-04 17:41:55.236 +0000 [error] [benchmark_io stream_method benchmark_logger] bq_sleep: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [monitor_io] bq_sleep: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [phantom_logger] bq_sleep: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [monitor_io] bq_sleep: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [benchmark_io 002] poll: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [benchmark_io stream_method brief_logger] bq_sleep: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 004] poll: Operation canceled
2024-07-04 17:41:55.237 +0000 [error] [benchmark_io 000] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 006] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 003] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 001] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 005] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 009] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 011] poll: Operation canceled
2024-07-04 17:41:55.250 +0000 [error] [benchmark_io 007] poll: Operation canceled
2024-07-04 17:41:55.251 +0000 [error] [benchmark_io 013] poll: Operation canceled
2024-07-04 17:41:55.251 +0000 [error] [benchmark_io 010] poll: Operation canceled
2024-07-04 17:41:55.251 +0000 [error] [benchmark_io 008] poll: Operation canceled
2024-07-04 17:41:55.251 +0000 [error] [benchmark_io 012] poll: Operation canceled
2024-07-04 17:41:55.252 +0000 [error] [benchmark_io 016] poll: Operation canceled
2024-07-04 17:41:55.252 +0000 [error] [benchmark_io 018] poll: Operation canceled
2024-07-04 17:41:55.252 +0000 [error] [benchmark_io 014] poll: Operation canceled
2024-07-04 17:41:55.253 +0000 [error] [benchmark_io 020] poll: Operation canceled
2024-07-04 17:41:55.253 +0000 [error] [benchmark_io 017] poll: Operation canceled
2024-07-04 17:41:55.253 +0000 [error] [benchmark_io 015] poll: Operation canceled
2024-07-04 17:41:55.254 +0000 [error] [benchmark_io 019] poll: Operation canceled
2024-07-04 17:41:55.254 +0000 [error] [benchmark_io 023] poll: Operation canceled
2024-07-04 17:41:55.254 +0000 [error] [benchmark_io 025] poll: Operation canceled
2024-07-04 17:41:55.255 +0000 [error] [benchmark_io 021] poll: Operation canceled
2024-07-04 17:41:55.255 +0000 [error] [benchmark_io 027] poll: Operation canceled
2024-07-04 17:41:55.255 +0000 [error] [benchmark_io 024] poll: Operation canceled
2024-07-04 17:41:55.256 +0000 [error] [benchmark_io 022] poll: Operation canceled
2024-07-04 17:41:55.256 +0000 [error] [benchmark_io 026] poll: Operation canceled
2024-07-04 17:41:55.258 +0000 [error] [benchmark_io 033] poll: Operation canceled
2024-07-04 17:41:55.256 +0000 [error] [benchmark_io 030] poll: Operation canceled
2024-07-04 17:41:55.256 +0000 [error] [benchmark_io 032] poll: Operation canceled
2024-07-04 17:41:55.257 +0000 [error] [benchmark_io 028] poll: Operation canceled
2024-07-04 17:41:55.257 +0000 [error] [benchmark_io 034] poll: Operation canceled
2024-07-04 17:41:55.257 +0000 [error] [benchmark_io 031] poll: Operation canceled
2024-07-04 17:41:55.257 +0000 [error] [benchmark_io 029] poll: Operation canceled
2024-07-04 17:41:55.258 +0000 [error] [benchmark_io 040] poll: Operation canceled
2024-07-04 17:41:55.259 +0000 [error] [benchmark_io 037] poll: Operation canceled
2024-07-04 17:41:55.259 +0000 [error] [benchmark_io 039] poll: Operation canceled
2024-07-04 17:41:55.260 +0000 [error] [benchmark_io 035] poll: Operation canceled
2024-07-04 17:41:55.260 +0000 [error] [benchmark_io 041] poll: Operation canceled
2024-07-04 17:41:55.260 +0000 [error] [benchmark_io 038] poll: Operation canceled
2024-07-04 17:41:55.261 +0000 [error] [benchmark_io 036] poll: Operation canceled
2024-07-04 17:41:55.261 +0000 [error] [benchmark_io 047] poll: Operation canceled
2024-07-04 17:41:55.261 +0000 [error] [benchmark_io 044] poll: Operation canceled
2024-07-04 17:41:55.261 +0000 [error] [benchmark_io 046] poll: Operation canceled
2024-07-04 17:41:55.262 +0000 [error] [benchmark_io 042] poll: Operation canceled
2024-07-04 17:41:55.262 +0000 [error] [benchmark_io 048] poll: Operation canceled
2024-07-04 17:41:55.264 +0000 [error] [benchmark_io 055] poll: Operation canceled
2024-07-04 17:41:55.262 +0000 [error] [benchmark_io 045] poll: Operation canceled
2024-07-04 17:41:55.262 +0000 [error] [benchmark_io 043] poll: Operation canceled
2024-07-04 17:41:55.263 +0000 [error] [benchmark_io 054] poll: Operation canceled
2024-07-04 17:41:55.263 +0000 [error] [benchmark_io 051] poll: Operation canceled
2024-07-04 17:41:55.263 +0000 [error] [benchmark_io 053] poll: Operation canceled
2024-07-04 17:41:55.264 +0000 [error] [benchmark_io 049] poll: Operation canceled
2024-07-04 17:41:55.265 +0000 [error] [benchmark_io 062] poll: Operation canceled
2024-07-04 17:41:55.265 +0000 [error] [benchmark_io 052] poll: Operation canceled
2024-07-04 17:41:55.266 +0000 [error] [benchmark_io 050] poll: Operation canceled
2024-07-04 17:41:55.266 +0000 [error] [benchmark_io 061] poll: Operation canceled
2024-07-04 17:41:55.266 +0000 [error] [benchmark_io 058] poll: Operation canceled
2024-07-04 17:41:55.266 +0000 [error] [benchmark_io 060] poll: Operation canceled
2024-07-04 17:41:55.267 +0000 [error] [benchmark_io 056] poll: Operation canceled
2024-07-04 17:41:55.267 +0000 [error] [benchmark_io 069] poll: Operation canceled
2024-07-04 17:41:55.267 +0000 [error] [benchmark_io 059] poll: Operation canceled
2024-07-04 17:41:55.268 +0000 [error] [benchmark_io 057] poll: Operation canceled
2024-07-04 17:41:55.268 +0000 [error] [benchmark_io 068] poll: Operation canceled
2024-07-04 17:41:55.268 +0000 [error] [benchmark_io 065] poll: Operation canceled
2024-07-04 17:41:55.268 +0000 [error] [benchmark_io 067] poll: Operation canceled
2024-07-04 17:41:55.269 +0000 [error] [benchmark_io 063] poll: Operation canceled
2024-07-04 17:41:55.269 +0000 [error] [benchmark_io 076] poll: Operation canceled
2024-07-04 17:41:55.269 +0000 [error] [benchmark_io 066] poll: Operation canceled
2024-07-04 17:41:55.270 +0000 [error] [benchmark_io 064] poll: Operation canceled
2024-07-04 17:41:55.270 +0000 [error] [benchmark_io 075] poll: Operation canceled
2024-07-04 17:41:55.270 +0000 [error] [benchmark_io 072] poll: Operation canceled
2024-07-04 17:41:55.270 +0000 [error] [benchmark_io 074] poll: Operation canceled
2024-07-04 17:41:55.271 +0000 [error] [benchmark_io 070] poll: Operation canceled
2024-07-04 17:41:55.271 +0000 [error] [benchmark_io 083] poll: Operation canceled
2024-07-04 17:41:55.271 +0000 [error] [benchmark_io 073] poll: Operation canceled
2024-07-04 17:41:55.272 +0000 [error] [benchmark_io 071] poll: Operation canceled
2024-07-04 17:41:55.272 +0000 [error] [benchmark_io 082] poll: Operation canceled
2024-07-04 17:41:55.272 +0000 [error] [benchmark_io 079] poll: Operation canceled
2024-07-04 17:41:55.272 +0000 [error] [benchmark_io 081] poll: Operation canceled
2024-07-04 17:41:55.272 +0000 [error] [benchmark_io 077] poll: Operation canceled
2024-07-04 17:41:55.273 +0000 [error] [benchmark_io 090] poll: Operation canceled
2024-07-04 17:41:55.273 +0000 [error] [benchmark_io 080] poll: Operation canceled
2024-07-04 17:41:55.273 +0000 [error] [benchmark_io 078] poll: Operation canceled
2024-07-04 17:41:55.274 +0000 [error] [benchmark_io 089] poll: Operation canceled
2024-07-04 17:41:55.274 +0000 [error] [benchmark_io 086] poll: Operation canceled
2024-07-04 17:41:55.274 +0000 [error] [benchmark_io 088] poll: Operation canceled
2024-07-04 17:41:55.275 +0000 [error] [benchmark_io 084] poll: Operation canceled
2024-07-04 17:41:55.275 +0000 [error] [benchmark_io 097] poll: Operation canceled
2024-07-04 17:41:55.275 +0000 [error] [benchmark_io 087] poll: Operation canceled
2024-07-04 17:41:55.275 +0000 [error] [benchmark_io 085] poll: Operation canceled
2024-07-04 17:41:55.275 +0000 [error] [benchmark_io 096] poll: Operation canceled
2024-07-04 17:41:55.276 +0000 [error] [benchmark_io 093] poll: Operation canceled
2024-07-04 17:41:55.276 +0000 [error] [benchmark_io 095] poll: Operation canceled
2024-07-04 17:41:55.276 +0000 [error] [benchmark_io 091] poll: Operation canceled
2024-07-04 17:41:55.276 +0000 [error] [benchmark_io 104] poll: Operation canceled
2024-07-04 17:41:55.277 +0000 [error] [benchmark_io 094] poll: Operation canceled
2024-07-04 17:41:55.277 +0000 [error] [benchmark_io 092] poll: Operation canceled
2024-07-04 17:41:55.277 +0000 [error] [benchmark_io 103] poll: Operation canceled
2024-07-04 17:41:55.278 +0000 [error] [benchmark_io 100] poll: Operation canceled
2024-07-04 17:41:55.278 +0000 [error] [benchmark_io 102] poll: Operation canceled
2024-07-04 17:41:55.278 +0000 [error] [benchmark_io 098] poll: Operation canceled
2024-07-04 17:41:55.278 +0000 [error] [benchmark_io 111] poll: Operation canceled
2024-07-04 17:41:55.278 +0000 [error] [benchmark_io 101] poll: Operation canceled
2024-07-04 17:41:55.279 +0000 [error] [benchmark_io 099] poll: Operation canceled
2024-07-04 17:41:55.279 +0000 [error] [benchmark_io 110] poll: Operation canceled
2024-07-04 17:41:55.279 +0000 [error] [benchmark_io 107] poll: Operation canceled
2024-07-04 17:41:55.279 +0000 [error] [benchmark_io 109] poll: Operation canceled
2024-07-04 17:41:55.280 +0000 [error] [benchmark_io 105] poll: Operation canceled
2024-07-04 17:41:55.280 +0000 [error] [benchmark_io 108] poll: Operation canceled
2024-07-04 17:41:55.281 +0000 [error] [benchmark_io 106] poll: Operation canceled
2024-07-04 17:41:55.284 +0000 [error] [benchmark_io] cond-wait: Operation canceled
2024-07-04 17:41:55.287 +0000 [info] [] Exit
